Average Market Capitalization of listed companies during the six months ended 30 June 2020,,,,,,,,,,
Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
493,"BALMER LAWRIE & CO. LTD.,",INE164A01016,BALMLAWRIE,1781.87,BALMLAWRIE," 1,781.44 ",,," 1,781.66 ",Small Cap
494,NAVNEET EDUCATION LIMITED,INE060A01024,NAVNETEDUL,1775.46,NAVNETEDUL," 1,775.81 ",,," 1,775.64 ",Small Cap
495,ADVANCED ENZYME TECHNOLOGIES LIMITED,INE837H01020,ADVENZYMES,1727.56,ADVENZYMES," 1,728.23 ",,," 1,727.89 ",Small Cap
496,VENKY'S (INDIA) LTD.,INE398A01010,VENKYS,1722.92,VENKEYS," 1,723.67 ",,," 1,723.29 ",Small Cap
497,KIRLOSKAR OIL ENGINES LIMITED,INE146L01010,KIRLOSENG,1714.84,KIRLOSENG," 1,714.16 ",,," 1,714.50 ",Small Cap
498,SHARDA CROPCHEM LIMITED,INE221J01015,SHARDACROP,1702.97,SHARDACROP," 1,701.90 ",,," 1,702.43 ",Small Cap
499,HUHTAMAKI PPL LIMITED,INE275B01026,PAPERPROD,1702.07,PAPERPROD," 1,701.72 ",,," 1,701.90 ",Small Cap
500,D.B.CORP LIMITED,INE950I01011,DBCORP,1694.50,DBCORP," 1,694.22 ",,," 1,694.36 ",Small Cap
501,AARTI DRUGS LIMITED,INE767A01016,AARTIDRUGS,1686.42,AARTIDRUGS," 1,687.07 ",,," 1,686.74 ",Small Cap
502,HFCL LIMITED,INE548A01028,HFCL,1685.27,HFCL," 1,684.20 ",,," 1,684.74 ",Small Cap
503,JINDAL STAINLESS LIMITED,INE220G01021,JSL,1679.34,JSL," 1,678.84 ",,," 1,679.09 ",Small Cap
504,"PHILLIPS CARBON BLACK LTD.,",INE602A01023,PHILIPCARB,1672.84,PHILIPCARB," 1,673.17 ",,," 1,673.00 ",Small Cap
505,ARVIND FASHIONS LIMITED,INE955V01021,ARVINDFASN,1613.34,ARVINDFASN," 1,612.56 ",,," 1,612.95 ",Small Cap
506,VALIANT ORGANICS LIMITED,INE565V01010,VALIANTORG,1611.63,,,,," 1,611.63 ",Small Cap
507,KARNATAKA BANK LTD.,INE614B01018,KTKBANK,1610.61,KTKBANK," 1,610.87 ",,," 1,610.74 ",Small Cap
508,AHLUWALIA CONTRACTS (INDIA) LTD,INE758C01029,AHLUCONT,1609.68,AHLUCONT," 1,607.56 ",,," 1,608.62 ",Small Cap
509,JTEKT INDIA LIMITED,INE643A01035,JTEKTINDIA,1572.15,JTEKTINDIA," 1,573.24 ",,," 1,572.70 ",Small Cap
510,FORBES & COMPANY LTD,INE518A01013,FORBESCO,1569.20,,,,," 1,569.20 ",Small Cap
511,TRANSPORT CORPORATION OF INDIA LTD,INE688A01022,TCI,1564.79,TCI," 1,563.88 ",,," 1,564.33 ",Small Cap
512,SUPREME PETROCHEM LTD.,INE663A01017,SUPPETRO*,1534.60,SUPPETRO," 1,531.11 ",,," 1,532.86 ",Small Cap
513,IOL CHEMICALS & PHARMACEUTICALS LTD,INE485C01011,IOLCP,1522.74,IOLCP," 1,523.03 ",,," 1,522.89 ",Small Cap
514,BENGAL & ASSAM COMPANY LIMITED,INE083K01017,BENGALASM,1520.91,,,,," 1,520.91 ",Small Cap
515,PSP PROJECTS LIMITED,INE488V01015,PSPPROJECT,1508.94,PSPPROJECT," 1,509.43 ",,," 1,509.19 ",Small Cap
516,TATA COFFEE LTD,INE493A01027,TATACOFFEE,1500.85,TATACOFFEE," 1,501.19 ",,," 1,501.02 ",Small Cap
517,GUJARAT AMBUJA EXPORTS LTD.,INE036B01022,GAEL,1493.59,GAEL," 1,495.30 ",,," 1,494.44 ",Small Cap
518,JAGRAN PRAKASHAN LIMITED,INE199G01027,JAGRAN,1487.41,JAGRAN," 1,491.87 ",,," 1,489.64 ",Small Cap
519,PRATAAP SNACKS LIMITED,INE393P01035,DIAMONDYD,1487.67,DIAMONDYD," 1,487.44 ",,," 1,487.56 ",Small Cap
520,GUJARAT MINERAL DEVELOPMENT CORPORA,INE131A01031,GMDCLTD,1485.51,GMDCLTD," 1,485.84 ",,," 1,485.67 ",Small Cap
521,JK TYRE & INDUSTRIES LTD.,INE573A01042,JKTYRE,1480.14,JKTYRE," 1,480.40 ",,," 1,480.27 ",Small Cap
522,SUZLON ENERGY LTD.,INE040H01021,SUZLON,1487.50,SUZLON," 1,470.94 ",,," 1,479.22 ",Small Cap
523,NOCIL LTD,INE163A01018,NOCIL,1477.16,NOCIL," 1,477.15 ",,," 1,477.15 ",Small Cap
524,"POLYPLEX CORPORATION LTD.,",INE633B01018,POLYPLEX*,1468.94,POLYPLEX," 1,469.69 ",,," 1,469.32 ",Small Cap
525,DISH TV INDIA LIMITED,INE836F01026,DISHTV,1466.31,DISHTV," 1,457.88 ",,," 1,462.10 ",Small Cap
526,NOVARTIS INDIA LIMITED.,INE234A01025,NOVARTIND,1461.03,,,,," 1,461.03 ",Small Cap
527,PRAJ INDUSTRIES LTD.,INE074A01025,PRAJIND,1451.38,PRAJIND," 1,450.97 ",,," 1,451.17 ",Small Cap
528,"THOMAS COOK (INDIA) LTD.,",INE332A01027,THOMASCOOK,1451.26,THOMASCOOK," 1,449.00 ",,," 1,450.13 ",Small Cap
529,JAI CORP LIMITED,INE070D01027,JAICORPLTD,1449.50,JAICORPLTD," 1,450.33 ",,," 1,449.91 ",Small Cap
530,ACCELYA SOLUTIONS INDIA LIMITED,INE793A01012,ACCELYA,1443.16,ACCELYA," 1,443.12 ",,," 1,443.14 ",Small Cap
531,MAHINDRA LIFESPACE DEVELOPERS LTD.,INE813A01018,MAHLIFE,1430.49,MAHLIFE," 1,431.51 ",,," 1,431.00 ",Small Cap
532,TATA METALIKS LTD,INE056C01010,TATAMETALI,1429.59,TATAMETALI," 1,430.33 ",,," 1,429.96 ",Small Cap
533,KOLTE-PATIL DEVELOPERS LTD,INE094I01018,KOLTEPATIL,1414.21,KOLTEPATIL," 1,414.77 ",,," 1,414.49 ",Small Cap
534,SWARAJ ENGINES LTD.,INE277A01016,SWARAJENG,1401.84,SWARAJENG," 1,400.82 ",,," 1,401.33 ",Small Cap
535,SOUTH INDIAN BANK LTD.,INE683A01023,SOUTHBANK,1397.78,SOUTHBANK," 1,396.21 ",,," 1,396.99 ",Small Cap
536,HIKAL LTD.,INE475B01022,HIKAL,1392.26,HIKAL," 1,392.23 ",,," 1,392.24 ",Small Cap
537,GREENPLY INDUSTRIES LTD,INE461C01038,GREENPLY,1389.60,GREENPLY," 1,389.72 ",,," 1,389.66 ",Small Cap
538,PRINCE PIPES AND FITTINGS LIMITED,INE689W01016,PRINCEPIPE,1389.26,PRINCEPIPE," 1,389.33 ",,," 1,389.30 ",Small Cap
539,TIDE WATER OIL (INDIA) LTD.,INE484C01022,TIDEWATER,1387.74,TIDEWATER," 1,386.82 ",,," 1,387.28 ",Small Cap
540,TATA STEEL LONG PRODUCTS LIMITED,INE674A01014,TATASTLLP,1338.58,TATASTLLP," 1,435.38 ",,," 1,386.98 ",Small Cap
541,INTELLECT DESIGN ARENA LIMITED,INE306R01017,INTELLECT,1387.36,INTELLECT," 1,386.09 ",,," 1,386.72 ",Small Cap
542,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,INE188A01015,FACT,1377.11,FACT," 1,377.19 ",,," 1,377.15 ",Small Cap
543,UFLEX LIMITED,INE516A01017,UFLEX,1376.73,UFLEX," 1,377.28 ",,," 1,377.00 ",Small Cap
544,RUPA & COMPANY LIMITED,INE895B01021,RUPA,1370.09,RUPA," 1,371.05 ",,," 1,370.57 ",Small Cap
545,AGRO TECH FOODS LTD,INE209A01019,ATFL,1365.32,ATFL," 1,364.63 ",,," 1,364.98 ",Small Cap
546,SOLARA ACTIVE PHARMA SCIENCES LIMITED,INE624Z01016,SOLARA,1368.22,SOLARA," 1,361.58 ",,," 1,364.90 ",Small Cap
547,ALEMBIC  LTD,INE426A01027,ALEMBICLTD,1363.09,ALEMBICLTD," 1,363.94 ",,," 1,363.51 ",Small Cap
548,CARE RATINGS LIMITED,INE752H01013,CARERATING,1363.04,CARERATING," 1,362.66 ",,," 1,362.85 ",Small Cap
549,JINDAL STAINLESS (HISAR) LIMITED,INE455T01018,JSLHISAR,1362.02,JSLHISAR," 1,363.03 ",,," 1,362.53 ",Small Cap
550,TRIVENI ENGINEERING & INDUSTRIES LTD,INE256C01024,TRIVENI,1362.41,TRIVENI," 1,362.00 ",,," 1,362.21 ",Small Cap
551,"BANNARI AMMAN SUGARS LTD.,",INE459A01010,BANARISUG,1358.39,BANARISUG," 1,354.97 ",,," 1,356.68 ",Small Cap
552,GHCL LTD.,INE539A01019,GHCL,1344.20,GHCL," 1,365.82 ",,," 1,355.01 ",Small Cap
553,"BOMBAY DYEING & MFG. CO. LTD.,",INE032A01023,BOMDYEING,1354.31,BOMDYEING," 1,354.69 ",,," 1,354.50 ",Small Cap
554,HERITAGE FOODS LIMITED,INE978A01027,HERITGFOOD,1354.24,HERITGFOOD," 1,352.67 ",,," 1,353.46 ",Small Cap
555,H.G. INFRA ENGINEERING LIMITED,INE926X01010,HGINFRA,1350.54,HGINFRA," 1,349.68 ",,," 1,350.11 ",Small Cap
556,PTC INDIA LTD,INE877F01012,PTC,1340.85,PTC," 1,340.45 ",,," 1,340.65 ",Small Cap
557,RAMCO INDUSTRIES LTD,INE614A01028,RAMCOIND,1335.47,RAMCOIND," 1,337.56 ",,," 1,336.52 ",Small Cap
558,SHRIRAM PISTONS & RINGS LTD.,INE526E01018,,,SHRIPISTON," 1,317.99 ",,," 1,317.99 ",Small Cap
559,HINDUJA GLOBAL SOLUTIONS LIMITED,INE170I01016,HGS,1315.65,HGS," 1,314.75 ",,," 1,315.20 ",Small Cap
560,DISHMAN CARBOGEN AMCIS LIMITED,INE385W01011,DCAL*,1303.17,DCAL," 1,322.09 ",,," 1,312.63 ",Small Cap
561,IIFL SECURITIES LIMITED,INE489L01022,IIFLSEC,1307.06,IIFLSEC," 1,307.24 ",,," 1,307.15 ",Small Cap
562,"SUBROS LTD.,",INE287B01021,SUBROS,1305.58,SUBROS," 1,305.58 ",,," 1,305.58 ",Small Cap
563,APAR INDUSTRIES LTD,INE372A01015,APARINDS,1307.90,APARINDS," 1,302.00 ",,," 1,304.95 ",Small Cap
564,MAITHAN ALLOYS LIMITED,INE683C01011,MAITHANALL,1303.65,MAITHANALL," 1,303.53 ",,," 1,303.59 ",Small Cap
565,MEGHMANI ORGANICS LTD.,INE974H01013,MEGH,1301.56,MEGH," 1,301.77 ",,," 1,301.66 ",Small Cap
566,FORCE MOTORS LIMITED,INE451A01017,FORCEMOT,1300.53,,,,," 1,300.53 ",Small Cap
567,"JAMNA AUTO INDUSTRIES LTD.,",INE039C01032,JAMNAAUTO,1300.14,JAMNAAUTO," 1,300.13 ",,," 1,300.13 ",Small Cap
568,CHENNAI PETROLEUM CORPORATION LTD.,INE178A01016,CHENNPETRO,1298.14,CHENNPETRO," 1,297.90 ",,," 1,298.02 ",Small Cap
569,GABRIEL INDIA LTD.,INE524A01029,GABRIEL,1290.16,GABRIEL," 1,289.62 ",,," 1,289.89 ",Small Cap
570,"NIIT LTD.,",INE161A01038,NIITLTD,1280.29,NIITLTD," 1,286.74 ",,," 1,283.51 ",Small Cap
571,ORIENT CEMENT LIMITED,INE876N01018,ORIENTCEM,1275.22,ORIENTCEM," 1,275.66 ",,," 1,275.44 ",Small Cap
572,LS INDUSTRIES LIMITED,INE345D01031,LSIND,1273.23,,,,," 1,273.23 ",Small Cap
573,BALAJI AMINES LTD.,INE050E01027,BALAMINES,1254.67,BALAMINES," 1,255.18 ",,," 1,254.93 ",Small Cap
574,REPCO HOME FINANCE LIMITED,INE612J01015,REPCOHOME,1251.96,REPCOHOME," 1,251.98 ",,," 1,251.97 ",Small Cap
575,SHREE RENUKA SUGARS LTD.,INE087H01022,RENUKA,1250.69,RENUKA," 1,246.95 ",,," 1,248.82 ",Small Cap
576,"NATIONAL FERTILIZERS LTD.,",INE870D01012,NFL,1224.81,NFL," 1,225.23 ",,," 1,225.02 ",Small Cap
577,T.V.TODAY NETWORK LIMITED,INE038F01029,TVTODAY,1222.41,TVTODAY," 1,222.72 ",,," 1,222.57 ",Small Cap
578,SANDHAR TECHNOLOGIES LIMITED,INE278H01035,SANDHAR,1217.53,SANDHAR," 1,221.71 ",,," 1,219.62 ",Small Cap
579,S H KELKAR AND COMPANY LIMITED,INE500L01026,SHK,1203.11,SHK," 1,202.80 ",,," 1,202.96 ",Small Cap
580,KELVIN FINCAP LTD,INE232N01022,KELVINFIN,1200.72,,,,," 1,200.72 ",Small Cap
581,AMRUTANJAN HEALTH CARE LIMITED,INE098F01031,AMRUTANJAN,1218.27,AMRUTANJAN," 1,175.62 ",,," 1,196.95 ",Small Cap
582,BLISS GVS PHARMA LIMITED,INE416D01022,BLISSGVS,1178.76,BLISSGVS," 1,176.53 ",,," 1,177.64 ",Small Cap
583,SADBHAV ENGINEERING LTD.,INE226H01026,SADBHAV,1166.42,SADBHAV," 1,165.18 ",,," 1,165.80 ",Small Cap
584,DFM FOODS LTD.,INE456C01020,DFM,1165.11,DFMFOODS," 1,165.67 ",,," 1,165.39 ",Small Cap
585,WHEELS INDIA LTD,INE715A01015,WHEELS,1162.50,WHEELS," 1,161.73 ",,," 1,162.12 ",Small Cap
586,WEST COAST PAPER MILLS LIMITED,INE976A01021,WSTCSTPAPR,1161.21,WSTCSTPAPR," 1,161.30 ",,," 1,161.25 ",Small Cap
587,PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,INE417C01014,PILANIINVS,1158.95,PILANIINVS," 1,158.11 ",,," 1,158.53 ",Small Cap
588,INEOS STYROLUTION INDIA LIMITED,INE189B01011,INEOSSTYRO,1154.31,INEOSSTYRO," 1,156.47 ",,," 1,155.39 ",Small Cap
589,"TINPLATE COMPANY OF INDIA LTD.,",INE422C01014,TINPLATE,1151.34,TINPLATE," 1,151.67 ",,," 1,151.50 ",Small Cap
590,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,INE619B01017,NEWGEN,1147.36,NEWGEN," 1,145.25 ",,," 1,146.30 ",Small Cap
591,KIRI INDUSTRIES LIMITED,INE415I01015,KIRIINDUS,1142.94,KIRIINDUS," 1,143.87 ",,," 1,143.40 ",Small Cap
592,ASIAN STAR CO. LTD.,INE194D01017,ASTAR,1138.11,,,,," 1,138.11 ",Small Cap
593,JINDAL POLY FILMS LTD.,INE197D01010,JINDALPOLY,1126.65,JINDALPOLY," 1,127.38 ",,," 1,127.01 ",Small Cap
594,GATEWAY DISTRIPARKS LTD.,INE852F01015,GDL,1124.33,GDL," 1,124.84 ",,," 1,124.59 ",Small Cap
595,ION EXCHANGE (INDIA) LTD,INE570A01014,IONEXCHANG,1120.79,,,,," 1,120.79 ",Small Cap
596,PUNJAB & SIND BANK,INE608A01012,PSB,1112.10,PSB," 1,106.23 ",,," 1,109.16 ",Small Cap
597,PURAVANKARA LIMITED,INE323I01011,PURVA,1108.99,PURVA," 1,108.68 ",,," 1,108.84 ",Small Cap
598,GFL LIMITED,INE538A01037,GFLLIMITED,1109.69,GFLLIMITED," 1,107.72 ",,," 1,108.70 ",Small Cap
599,FUTURE SUPPLY CHAIN SOLUTIONS LIMITED,INE935Q01015,FSC,1113.09,FSC," 1,101.02 ",,," 1,107.05 ",Small Cap
600,VOLTAMP TRANSFORMERS LIMITED,INE540H01012,VOLTAMP,1102.67,VOLTAMP," 1,102.74 ",,," 1,102.70 ",Small Cap
601,HESTER BIOSCIENCES LTD,INE782E01017,HESTERBIO,1098.99,HESTERBIO," 1,097.53 ",,," 1,098.26 ",Small Cap
602,JAMMU AND KASHMIR BANK LTD.,INE168A01041,J&KBANK,1098.09,J&KBANK," 1,086.89 ",,," 1,092.49 ",Small Cap
603,"HINDUSTAN FOODS LTD.,",INE254N01018,HNDFDS,1079.49,,,,," 1,079.49 ",Small Cap
604,"LUMAX INDUSTRIES LTD.,",INE162B01018,LUMAXIND,1076.41,LUMAXIND," 1,076.47 ",,," 1,076.44 ",Small Cap
605,"SAFARI INDUSTRIES (INDIA) LTD.,",INE429E01023,SAFARIND,1070.49,SAFARI," 1,067.81 ",,," 1,069.15 ",Small Cap
606,APOLLO TRICOAT TUBES LIMITED,INE919P01029,APOLLOTRI,1063.44,,,,," 1,063.44 ",Small Cap
607,BF INVESTMENT LIMITED,INE878K01010,BFINVEST,1049.48,BFINVEST," 1,049.89 ",,," 1,049.69 ",Small Cap
608,"HINDUSTAN CONSTRUCTION CO. LTD.,",INE549A01026,HCC,1045.04,HCC," 1,043.07 ",,," 1,044.05 ",Small Cap
609,KEWAL KIRAN CLOTHING LTD.,INE401H01017,KKCL,1042.06,KKCL," 1,040.59 ",,," 1,041.33 ",Small Cap
610,TAKE SOLUTIONS LTD,INE142I01023,TAKE,1040.02,TAKE," 1,038.64 ",,," 1,039.33 ",Small Cap
611,"TVS SRICHAKRA LTD.,",INE421C01016,TVSSRICHAK,1036.52,TVSSRICHAK," 1,036.00 ",,," 1,036.26 ",Small Cap
612,"PREMIER CAPITAL SERVICES LTD.,",INE946K01023,PREMCAP,1035.11,,,,," 1,035.11 ",Small Cap
613,SAVITA OIL TECHNOLOGIES LIMITED,INE035D01012,SOTL,1033.19,SOTL," 1,031.79 ",,," 1,032.49 ",Small Cap
614,R SYSTEMS INTERNATIONAL LIMITED,INE411H01032,RSYSTEMINT,1030.56,RSYSTEMS," 1,031.20 ",,," 1,030.88 ",Small Cap
615,JMC PROJECTS (INDIA) LTD.,INE890A01024,JMCPROJECT,1024.28,JMCPROJECT," 1,024.38 ",,," 1,024.33 ",Small Cap
616,ASTEC LIFESCIENCES LIMITED,INE563J01010,ASTEC,1019.13,ASTEC," 1,020.19 ",,," 1,019.66 ",Small Cap
617,HONDA SIEL POWER PRODUCTS LTD.,INE634A01018,HONDAPOWER,1016.86,HONDAPOWER," 1,017.57 ",,," 1,017.21 ",Small Cap
618,NATIONAL PEROXIDE LTD.,INE585A01020,NATPEROX,1015.70,,,,," 1,015.70 ",Small Cap
619,"UNICHEM LABORATORIES LTD.,",INE351A01035,UNICHEMLAB,1007.79,UNICHEMLAB," 1,008.72 ",,," 1,008.25 ",Small Cap
620,PRIME FOCUS LIMITED,INE367G01038,PFOCUS,1004.31,PFOCUS," 1,001.84 ",,," 1,003.07 ",Small Cap
621,GOCL CORPORATION LIMITED,INE077F01035,GOCLCORP,998.37,GOCLCORP, 998.98 ,,, 998.68 ,Small Cap
622,WONDERLA HOLIDAYS LIMITED,INE066O01014,WONDERLA,996.33,WONDERLA, 995.84 ,,, 996.09 ,Small Cap
623,NEOGEN CHEMICALS LIMITED,INE136S01016,NEOGEN,989.53,NEOGEN, 989.27 ,,, 989.40 ,Small Cap
624,PAISALO DIGITAL LIMITED,INE420C01042,PAISALO,975.99,PAISALO, 971.80 ,,, 973.89 ,Small Cap
625,VISHAL FABRICS LIMITED,INE755Q01025,VISHAL,973.37,,,,, 973.37 ,Small Cap
626,GUJARAT INDUSTRIES POWER CO. LTD,INE162A01010,GIPCL,971.03,GIPCL, 970.73 ,,, 970.88 ,Small Cap
627,TANLA SOLUTIONS LTD.,INE483C01032,TANLA,961.44,TANLA, 962.22 ,,, 961.83 ,Small Cap
628,WELSPUN ENTERPRISES LIMITED,INE625G01013,WELENT,961.01,WELENT, 960.45 ,,, 960.73 ,Small Cap
629,"KIRLOSKAR BROTHERS LTD.,",INE732A01036,KIRLOSBROS,952.51,KIRLOSBROS, 951.57 ,,, 952.04 ,Small Cap
630,"GRAUER & WEIL (INDIA) LTD.,",INE266D01021,GRAUWEIL,951.73,,,,, 951.73 ,Small Cap
631,MAJESCO LIMITED,INE898S01029,MJCO,952.99,MAJESCO, 949.86 ,,, 951.43 ,Small Cap
632,"DHAMPUR SUGAR MILLS LTD.,",INE041A01016,DHAMPURSUG,949.77,DHAMPURSUG, 949.60 ,,, 949.68 ,Small Cap
633,NAVA BHARAT VENTURES LTD,INE725A01022,NBVENTURES,945.84,NBVENTURES, 944.14 ,,, 944.99 ,Small Cap
634,IFCI LTD.,INE039A01010,IFCI,943.41,IFCI, 934.65 ,,, 939.03 ,Small Cap
635,SEAMEC LTD,INE497B01018,SEAMECLTD,933.95,SEAMECLTD, 936.23 ,,, 935.09 ,Small Cap
636,ORISSA MINERALS DEVELOPMENT COMPANY LIMITED,INE725E01024,ORISSAMINE,933.32,ORISSAMINE, 933.78 ,,, 933.55 ,Small Cap
637,HIND ISPAT LIMITED,INE951E01018,,,,,HINDISPAT, 929.97 , 929.97 ,Small Cap
638,V.S.T.TILLERS TRACTORS LTD.,INE764D01017,VSTTILLERS,927.26,VSTTILLERS, 927.11 ,,, 927.19 ,Small Cap
639,UGRO CAPITAL LIMITED,INE583D01011,UGROCAP,926.90,,,,, 926.90 ,Small Cap
640,TIME TECHNOPLAST LIMITED,INE508G01029,TIMETECHNO,927.16,TIMETECHNO, 926.10 ,,, 926.63 ,Small Cap
641,"AUTOMOTIVE AXLES LTD.,",INE449A01011,AUTOAXLES,909.12,AUTOAXLES, 908.91 ,,, 909.02 ,Small Cap
642,TAJ GVK HOTELS & RESORTS LTD.,INE586B01026,TAJGVK,906.98,TAJGVK, 906.38 ,,, 906.68 ,Small Cap
643,TAMIL NADU NEWSPRINT AND PAPERS LTD,INE107A01015,TNPL,903.73,TNPL, 904.01 ,,, 903.87 ,Small Cap
644,HEALTHCARE GLOBAL ENTERPRISES LIMITED,INE075I01017,HCG,900.26,HCG, 900.55 ,,, 900.40 ,Small Cap
645,MAGMA FINCORP  LIMITED,INE511C01022,MAGMA,895.94,MAGMA, 894.71 ,,, 895.33 ,Small Cap
646,SESHASAYEE PAPER & BOARDS LTD.,INE630A01016,,,SESHAPAPER, 895.32 ,,, 895.32 ,Small Cap
647,"SESHASAYEE PAPER & BOARDS LTD.,",INE630A01024,SESHAPAPER,894.95,,,,, 894.95 ,Small Cap
648,INSECTICIDES INDIA LTD.,INE070I01018,INSECTICID,892.78,INSECTICID, 892.67 ,,, 892.73 ,Small Cap
649,ANDHRA PAPER LIMITED,INE435A01028,ANDHRAPAP,891.16,ANDHRAPAP, 887.90 ,,, 889.53 ,Small Cap
650,JINDAL WORLDWIDE LTD.,INE247D01039,JINDWORLD,882.38,JINDWORLD, 879.91 ,,, 881.14 ,Small Cap
651,"EXCELL INDUSTRIES LTD.,",INE369A01029,EXCELINDUS,879.99,EXCELINDUS, 875.65 ,,, 877.82 ,Small Cap
652,DEEPAK FERTILIZERS &PETROCHEMICALS,INE501A01019,DEEPAKFERT,872.93,DEEPAKFERT, 873.25 ,,, 873.09 ,Small Cap
653,HINDUSTAN OIL EXPLORATION CO. LTD.,INE345A01011,HINDOILEXP,870.54,HINDOILEXP, 871.20 ,,, 870.87 ,Small Cap
654,"EXDON TRADING CO. LTD.,",INE204I01013,ZEXDONTR,866.63,,,,, 866.63 ,Small Cap
655,JBM AUTO LIMITED,INE927D01028,JBMA,871.15,JBMA, 860.43 ,,, 865.79 ,Small Cap
656,"INDIAN HUME PIPE CO. LTD.,",INE323C01030,INDIANHUME,865.36,INDIANHUME, 866.14 ,,, 865.75 ,Small Cap
657,PANACEA BIOTEC LTD.,INE922B01023,PANACEABIO,865.47,PANACEABIO, 865.71 ,,, 865.59 ,Small Cap
658,"TRANSPEK INDUSTRY LTD.,",INE687A01016,TRANSPEK,863.27,,,,, 863.27 ,Small Cap
659,MATRIMONY.COM LIMITED,INE866R01028,MATRIMONY,863.92,MATRIMONY, 861.76 ,,, 862.84 ,Small Cap
660,SAGAR CEMENTS LTD,INE229C01013,SAGCEM,861.19,SAGCEM, 860.04 ,,, 860.62 ,Small Cap
661,MAYUR UNIQUOTERS LTD.,INE040D01038,MAYURUNIQ,856.88,MAYURUNIQ, 856.20 ,,, 856.54 ,Small Cap
662,CAPACIT'E INFRAPROJECTS LIMITED,INE264T01014,CAPACITE,856.23,CAPACITE, 856.00 ,,, 856.11 ,Small Cap
663,BF UTILITIES LTD.,INE243D01012,BFUTILITIE,854.16,BFUTILITIE, 854.08 ,,, 854.12 ,Small Cap
664,ENTERTAINMENT NETWORK (INDIA) LTD,INE265F01028,ENIL,854.29,ENIL, 850.11 ,,, 852.20 ,Small Cap
665,KIRLOSKAR FERROUS INDUSTRIES LTD.,INE884B01025,KIRLFER,851.82,,,,, 851.82 ,Small Cap
666,MSTC LIMITED,INE255X01014,MSTC,849.03,MSTCLTD, 848.80 ,,, 848.92 ,Small Cap
667,MARKSANS PHARMA LTD.,INE750C01026,MARKSANS,847.39,MARKSANS, 847.06 ,,, 847.23 ,Small Cap
668,INDIA GLYCOLS LTD,INE560A01015,INDIAGLYCO,845.06,INDIAGLYCO, 845.43 ,,, 845.24 ,Small Cap
669,APEX FROZEN FOODS LIMITED,INE346W01013,APEX ,844.63,APEX, 844.91 ,,, 844.77 ,Small Cap
670,"ARVIND LTD.,",INE034A01011,ARVIND,840.70,ARVIND, 840.82 ,,, 840.76 ,Small Cap
671,RELIGARE ENTERPRISES LTD,INE621H01010,RELIGARE,844.30,RELIGARE, 835.84 ,,, 840.07 ,Small Cap
672,STEEL STRIPS & WHEELS LTD,INE802C01017,SSWL,840.52,SSWL, 839.00 ,,, 839.76 ,Small Cap
673,SADBHAV INFRASTRUCTURE PROJECT LIMITED,INE764L01010,SADBHIN,840.12,SADBHIN, 836.75 ,,, 838.43 ,Small Cap
674,PARAG MILK FOODS LIMITED,INE883N01014,PARAGMILK,836.51,PARAGMILK, 836.46 ,,, 836.49 ,Small Cap
675,IGARASHI MOTORS INDIA LTD.,INE188B01013,IGARASHI,834.22,IGARASHI, 833.93 ,,, 834.08 ,Small Cap
676,JAIPRAKASH POWER VENTURES LIMITED,INE351F01018,JPPOWER,843.09,JPPOWER, 817.36 ,,, 830.23 ,Small Cap
677,CAPITAL INDIA FINANCE LIMITED,INE345H01016,CIFL,828.16,,,,, 828.16 ,Small Cap
678,OLECTRA GREENTECH LIMITED,INE260D01016,OLECTRA,826.51,OLECTRA, 829.73 ,,, 828.12 ,Small Cap
679,"VINDHYA TELELINKS LTD.,",INE707A01012,VINDHYATEL,828.49,VINDHYATEL, 827.50 ,,, 827.99 ,Small Cap
680,FUTURE ENTERPRISES LIMITED,INE623B01027,FEL,854.80,FEL, 789.75 ,,, 822.27 ,Small Cap
681,HLE GLASCOAT LIMITED,INE461D01010,HLEGLAS,821.89,,,,, 821.89 ,Small Cap
682,SHALBY LIMITED,INE597J01018,SHALBY,818.45,SHALBY, 818.48 ,,, 818.46 ,Small Cap
683,J. KUMAR INFRAPROJECTS LIMITED,INE576I01022,JKIL,818.17,JKIL, 818.49 ,,, 818.33 ,Small Cap
684,LT FOODS LIMITED,INE818H01020,DAAWAT,814.55,DAAWAT, 814.80 ,,, 814.67 ,Small Cap
685,"DOLAT INVESTMENTS LTD.,",INE966A01022,DOLAT,814.32,,,,, 814.32 ,Small Cap
686,SUNDARAM FINANCE HOLDINGS LTD.,INE202Z01029,,,SUNDARMHLD, 813.18 ,,, 813.18 ,Small Cap
687,SATIA INDUSTRIES LIMITED,INE170E01023,SATIA,812.69,SATIA, 809.91 ,,, 811.30 ,Small Cap
688,BOROSIL RENEWABLES LIMITED,INE666D01022,BORORENEW,1017.99,BORORENEW, 599.33 ,,, 808.66 ,Small Cap
689,KALYANI STEELS LTD,INE907A01026,KSL,805.89,KSL, 806.64 ,,, 806.27 ,Small Cap
